orgId,classId,className,lessonPlanIds,classTypes,programIds,ageRangeIds,ageRangeNames,gradeIds,gradeNames,subjectIds,subjectNames,totalStudents,scheduledClasses,studentIds
20cb7b33-35c2-4074-95a3-c782dc4fc1fd,002546bc-cfb0-459b-af3e-f90c479c86f7,Class 2,null,null,null,null,null,null,null,null,null,0,0,null
a6174392-c544-48e1-9f9b-65b515bde8e2,00c7159a-2ec9-4f06-9bb0-6043d6ab916f,Class 1,61cc0ffcef9ea256adb0e194;61cc109a319b2c503d91309d;61cbfd44ef9ea256adb0d006;60ab46ea18ba2bdf972e00a1;61cbfc41319b2c503d911cd1,live;study,75004121-0c0d-486c-ba65-4c57deacb44b,7965d220-619d-400f-8cab-42bd98c7d23c;145edddc-2019-43d9-97e1-c5830e7ed689;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,3 - 4 year(s);6 - 7 year(s);4 - 5 year(s);5 - 6 year(s),a9f0217d-f7ec-4add-950d-4e8986ab2c82;66fcda51-33c8-4162-a8d1-0337e1d6ade3;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03,Kindergarten;PreK-2;PreK-1,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,10,0,1dfb6e96-33c1-42ab-9d6a-a9d7eb0e0b34;24e14ca0-cf69-4f39-872a-0f9bca4fcc21;54747ad3-bf21-4a69-8977-3617b2dc305f;6957587a-f4c2-4234-9c30-160c68309899;7197ba42-9173-4ec9-9421-43450ca02fb2;815cacae-ee01-4b8f-b957-91b8a05c5848;d7868501-0359-4706-81d3-d9cdad971b88;db93d980-7f56-4d90-b591-09738a379d4b;e0d7d127-6934-44dc-9de4-ba3e9cce2dd5;f10d26f0-d8a3-471c-b548-892028a565e4
94c33343-0736-4100-9c61-704f098b2453,011e6e9a-0912-489d-a82c-fcec876f4e65,classtest-2,61e93604728452cc7c9b236b,live,75004121-0c0d-486c-ba65-4c57deacb44b,7965d220-619d-400f-8cab-42bd98c7d23c;145edddc-2019-43d9-97e1-c5830e7ed689;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;bb7982cd-020f-4e1a-93fc-4a6874917f07,3 - 4 year(s);6 - 7 year(s);5 - 6 year(s);4 - 5 year(s),a9f0217d-f7ec-4add-950d-4e8986ab2c82;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3,Kindergarten;PreK-1;PreK-2,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,1,0,8ae33d3e-4817-4841-8dd6-a6375096248a
d51bba25-5d5e-4dab-ad47-1192eb8fc0c0,014f1602-137e-47d1-a2f2-c012094b11a7,EDT-HTT-HMB-21-A1-Ca3,6141e4ba878ff3576cc1cce9;613efbad878ff3576cbffc39;613f33ff878ff3576cc023a1,live,75004121-0c0d-486c-ba65-4c57deacb44b,bb7982cd-020f-4e1a-93fc-4a6874917f07;7965d220-619d-400f-8cab-42bd98c7d23c;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;145edddc-2019-43d9-97e1-c5830e7ed689,4 - 5 year(s);3 - 4 year(s);5 - 6 year(s);6 - 7 year(s),a9f0217d-f7ec-4add-950d-4e8986ab2c82;66fcda51-33c8-4162-a8d1-0337e1d6ade3;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03,Kindergarten;PreK-2;PreK-1,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,9,0,0b9eaa2a-4629-443a-807f-2c14a737799a;0fb2ca8c-d5ab-45ca-9635-37c1c74a3bbf;24e1ba24-0268-45b7-8750-d203dbaec394;25c992e9-9217-4a8e-8738-7ec49973287f;5f895ebe-ceb3-4ff1-a82b-855d4c1c6fb9;6077571e-6955-4132-acaf-1976f67467d4;9f0a8654-6f1a-430e-9683-9beee28e00dc;c8ba670b-e2ba-4b55-a63f-60f270a3e742;e3388816-b681-495a-baf7-ab78155c9d64
b4e517f0-e128-4c57-9cfa-265401fe3959,02b529c5-6ccf-43ca-8973-0069d840a383,ABCD test,;5fb32c6a55572f4ca74601ec;5fb32c6a55572f4ca74601c1;619da9f049acfbda38d6fcfa;61bafdec49acfbda38e4cdae;61c03123d35c211996a88268,task;live;class;homework,;b39edb9a-ab91-4245-94a4-eb2b5007c033;75004121-0c0d-486c-ba65-4c57deacb44b;9582a48c-c979-4caa-88a2-275d25a436b0;14d350f1-a7ba-4f46-bef9-dc847f0cbac5,bb7982cd-020f-4e1a-93fc-4a6874917f07;7965d220-619d-400f-8cab-42bd98c7d23c;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;145edddc-2019-43d9-97e1-c5830e7ed689;21f1da64-b6c8-4e74-9fef-09d08cfd8e6c;2ae78432-2c16-4f37-9903-0eb59d9bf762,4 - 5 year(s);3 - 4 year(s);5 - 6 year(s);6 - 7 year(s);7 - 8 year(s);9-8,66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;781e8a08-29e8-4171-8392-7e8ac9f183a0;3ee3fd4c-6208-494f-9551-d48fabc4f42a;1261bdd9-95da-4233-bd13-aeaf1cc33fff;abc900b9-5b8c-4e54-a4a8-54f102b2c1c6;89d71050-186e-4fb2-8cbd-9598ca312be9;b20eaf10-3e40-4ef7-9d74-93a13782d38f,PreK-2;Kindergarten;PreK-1;PreK-7;PreK-6;vtest Grade111;PreK-5;PreK-4;PreK-3,66a453b0-d38f-472e-b055-7a94a94d66c4;20d6ca2f-13df-4a7a-8dcb-955908db7baa;ab8086e0-80df-4d9f-a101-e0df04b89729;7cf8d3a3-5493-46c9-93eb-12f220d101d0,Language/Literacy;Language/Literacy;Sub_TestShareCustomProgram;Math,7,3,4aea776a-d650-4cd9-98f4-e88bf05f3716;6fb6323b-0bfc-4d05-801c-00e006de9f68;e902e6e4-d093-4c1a-bffd-cc856446057d;1f9a6610-90e5-425a-8063-9ca351189912;5516f2f3-7cdd-4ab4-af42-aef22482caf7;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;7fb40c20-6aa7-402b-aa28-723339d77be6
94c33343-0736-4100-9c61-704f098b2453,032626bc-90f2-40ff-8c98-2a1f2edc662a,classtest-26,61e93604728452cc7c9b236b,live,75004121-0c0d-486c-ba65-4c57deacb44b,145edddc-2019-43d9-97e1-c5830e7ed689;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;7965d220-619d-400f-8cab-42bd98c7d23c,6 - 7 year(s);4 - 5 year(s);5 - 6 year(s);3 - 4 year(s),a9f0217d-f7ec-4add-950d-4e8986ab2c82;66fcda51-33c8-4162-a8d1-0337e1d6ade3;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03,Kindergarten;PreK-2;PreK-1,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,1,0,995a16a0-634d-49aa-80dd-9a699b9ed294
a5a05853-e025-4267-91e5-87f01c08a911,03c64b2c-0bf9-4cf4-9acd-75e8bea3b967,Class 1,5fb32c6a55572f4ca74601c1,live,b39edb9a-ab91-4245-94a4-eb2b5007c033,fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;bb7982cd-020f-4e1a-93fc-4a6874917f07;7965d220-619d-400f-8cab-42bd98c7d23c,5 - 6 year(s);4 - 5 year(s);3 - 4 year(s),null,null,66a453b0-d38f-472e-b055-7a94a94d66c4,Language/Literacy,11,0,16c6ab10-4617-4af9-ab9e-4db0752448f5;463b1bd2-b611-4394-b4c8-1c52aea3cbc7;4b3013b2-3996-4787-b91a-2d9df0e92f76;4d66a39f-baab-4614-b988-7b7bdbaaca47;69f8a4ae-2f09-4cf8-872d-51d7321bae7f;caecdadb-a386-4fac-a961-572dc3f023fc;0e16baef-d678-4405-8c2d-94ee101b1e59;6028f1a2-4bc6-48ac-bb3f-793c5d5ceebc;bdc3e6fc-2fc3-404c-af4d-e6406788ee56;c247136f-906a-45f6-b76d-025e2ea50d26;c6202a74-4754-4c8a-85a6-41883c99a4e4
53ddf7ac-e87f-4048-a641-6b1e1dc7b484,03e6c579-11e6-4760-8d81-6926ea0b6e84,HMB Teaching Practice 3.3,6129aa18878ff3576cb5c0ae,live,75004121-0c0d-486c-ba65-4c57deacb44b,145edddc-2019-43d9-97e1-c5830e7ed689;bb7982cd-020f-4e1a-93fc-4a6874917f07;7965d220-619d-400f-8cab-42bd98c7d23c;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);4 - 5 year(s);3 - 4 year(s);5 - 6 year(s),a9f0217d-f7ec-4add-950d-4e8986ab2c82;66fcda51-33c8-4162-a8d1-0337e1d6ade3;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03,Kindergarten;PreK-2;PreK-1,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,2,0,32017137-083f-4d35-9eed-7ca8a34ed30b;3bdd414b-5ddb-4783-8481-b7b259f63e7a
b4e517f0-e128-4c57-9cfa-265401fe3959,040f79a9-c1ca-4f1f-bcf8-ace7b4f1b554,yogurt 11,60e2bdf447432f6c49f4cb48;6184d93ef8743bbce5a1ed40,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2;75004121-0c0d-486c-ba65-4c57deacb44b,7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;145edddc-2019-43d9-97e1-c5830e7ed689;023eeeb1-5f72-4fa3-a2a7-63603607ac2b,3 - 4 year(s);4 - 5 year(s);5 - 6 year(s);6 - 7 year(s);None Specified,0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;a9f0217d-f7ec-4add-950d-4e8986ab2c82;66fcda51-33c8-4162-a8d1-0337e1d6ade3,PreK-1;Kindergarten;PreK-2,20d6ca2f-13df-4a7a-8dcb-955908db7baa;5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,Language/Literacy;None Specified,1,0,c109383d-6ff3-4761-8ddc-019a8b2c9068
ab54b78e-7f6f-4464-8022-27413d1af20f,044a76b3-1f8a-411f-8675-19244f63b9f9,TQT-2021-5-bk,613efa38369c5d10857a23d2;6141e10e0e0c72fe0bd08eb2;6136c0a30e0c72fe0bcace0a;6136c2f0369c5d1085762181;613efaf01b6e985e7d71946e;6136c90f1b6e985e7d6d875d;6136c386878ff3576cbbeeab;6136ca980e0c72fe0bcad5cf;6136c79c878ff3576cbbf240;613db7dd1b6e985e7d70f4c6;6141e0bf1b6e985e7d7377f8;6141e155878ff3576cc1c7e5,live;study,75004121-0c0d-486c-ba65-4c57deacb44b,145edddc-2019-43d9-97e1-c5830e7ed689;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a;7965d220-619d-400f-8cab-42bd98c7d23c,6 - 7 year(s);4 - 5 year(s);5 - 6 year(s);3 - 4 year(s),66fcda51-33c8-4162-a8d1-0337e1d6ade3;0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-2;PreK-1;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,0,0,null
